// UI
Main|Основное
Drop a <crit> in the bottom of Daemon|Киньте <crit> на дно Искуса
Open [<current>/<amount>] pomegranates <region> <onecycle>|Раскройте [<current>/<amount>] граната(-ов) <region> <onecycle>
Open [<current>/<amount>] popcorn plants<region><onecycle>|Раскройте [<current>/<amount>] попкорника(-ов)<region><onecycle>
Pin [<current_pin>/<pin_amount>] <crit> to walls or floors<region>|Пригвоздите [<current_pin>/<pin_amount>] <crit> к стенам или полам<region>
Transport the same <crit> through [<current>/<amount>] portals|Перенесите одну(-ого) и ту(-ого) же <crit> через [<current>/<amount>] портала(-ов)
Visit Spinning Top in <location> while starving|Посетите Вращающегося Волчка в <location> голодая
Visit Spinning Top in <location>|Посетите Вращающегося Волчка в <location>
Visit Spinning Top <amount> times while starving|Посетите Вращающегося Волчка <amount> раз(-а) голодая
Visit Spinning Top <amount> times|Посетите Вращающегося Волчка <amount> раз(-а) 
Visit The Prince|Посетите Принца
Visit The Weaver in <region>|Посетите Ткача в <region>
Hatch [<current>/<amount>] Moth Grubs <onecycle>|Вылупите [<current>/<amount>] Личинки(-ок) Моли <onecycle>
Collect [<current>/<amount>] ripplespawn eggs <onecycle>|Соберите [<current>/<amount>] яиц(-а) ряби <onecycle>
Hatch [<current>/<amount>] Noodlefly eggs <region> <onecycle>|Вылупите [<current>/<amount>] яиц(-а) Лапшемухи <region> <onecycle>

Enter [<current>/<required>] regions without entering <region>|Войдите в [<current>/<required>] региона(-ов) без входа в <region>
[<current>/<amount>] unique tolls|[<current>/<amount>] уникальных застав
<action> [<current>/<amount>] <target_item> <shelter_type> shelter <location>|<action> [<current>/<amount>] <target_item> <shelter_type> убежище <location>
Bring [<current>/<amount>] to any shelter <location>|Принесите [<current>/<amount>] в любое убежище <location>
Hoard [<current>/<amount>] in the same shelter <location>|Соберите [<current>/<amount>] в одно и то же убежище <location>
Throw a grenade at the <toll> scavenger toll|Киньте гранату на <toll> заставу Мусорщиков
Throw a grenade at [<current>/<amount>] unique tolls|Киньте гранату на [<current>/<amount>] уникальных заставах
Collect the <unlock> unlock|Соберите разблокирование <unlock>
Never kill <victim>|Никогда не убивайте <victim>
Eat [<current>/<amount>] <food_type> <starved>|Съешьте [<current>/<amount>] <food_type> <starved>
Hit <crit> with <weapon> [<current>/<amount>] times<location><onecycle>|Ударьте <crit> с помощью <weapon> [<current>/<amount>] раз(-а)<location><onecycle>
Enter <region>|Войдите в <region>
Do not enter <region>|Не входите в <region>
Craft [<current>/<amount>] <item>|Скрафтите [<current>/<amount>] <item>
Do not die before completing [<current>/<amount>] bingo challenges|Не умирайте пока не выполните [<current>/<amount>] Бинго испытаний
